,match_id,game_time,game_duration,player0,player1,player2,player3,player4,player5,player6,player7,player8,player9
127,NA1_4229764421,1645773200324,2316,Gwen,Rammus,Akshan,Caitlyn,Renata,Shyvana,Hecarim,Ahri,Volibear,Zac
128,NA1_4229669115,1645770560632,1642,Kennen,Zac,Yasuo,Akshan,Alistar,Nasus,Diana,Qiyana,Kaisa,Rakan
129,NA1_4229701837,1645768145042,1306,Gangplank,Kindred,Sylas,KogMaw,Rakan,Sion,Ekko,Zed,Zeri,Zilean
130,NA1_4229615779,1645765840064,1359,Darius,Trundle,Akshan,Jhin,Karma,Ornn,Hecarim,Viktor,MissFortune,Leona
131,NA1_4229508271,1645760541050,1588,Fiora,Khazix,Kennen,Ezreal,Bard,Jayce,Kindred,AurelionSol,Zeri,Karma
132,NA1_4229438949,1645757801672,1844,Akali,Hecarim,Viktor,Tristana,Maokai,Jax,RekSai,Sylas,KogMaw,Yuumi
133,NA1_4229471154,1645755818440,1548,Jayce,Khazix,Sylas,Aphelios,Karma,Irelia,Hecarim,Veigar,Akshan,Rakan
134,NA1_4229374641,1645753443508,1771,Camille,JarvanIV,Ekko,Zeri,Blitzcrank,Jax,Graves,Sylas,Tristana,Karma
135,NA1_4228732049,1645684494113,2277,Akshan,Volibear,Singed,Jhin,Xerath,Gragas,Viego,TwistedFate,Zeri,Senna
136,NA1_4228684514,1645681761520,1962,TahmKench,Graves,TwistedFate,Jinx,Rell,Camille,Warwick,Veigar,Kaisa,Alistar
137,NA1_4228525970,1645675699035,1297,Camille,Ekko,Viktor,Jinx,Soraka,Jayce,Kindred,Kassadin,Twitch,Taric
138,NA1_4228497131,1645673547998,1850,Sett,LeeSin,Vladimir,Yasuo,Yuumi,Jayce,RekSai,Orianna,Jinx,Syndra
139,NA1_4228366763,1645667792323,1836,Pantheon,MasterYi,Sylas,Draven,Janna,Jax,XinZhao,Viktor,Ezreal,Pyke
140,NA1_4227687336,1645600900773,913,Akali,Graves,Jayce,Swain,Senna,Vayne,LeeSin,Zoe,Seraphine,Sona
141,NA1_4227637460,1645597052468,2035,Tryndamere,Hecarim,Ekko,Ezreal,Zilean,Gangplank,Kindred,Veigar,Ziggs,Blitzcrank
142,NA1_4227609015,1645594727335,1152,Gwen,Rengar,Sylas,Ezreal,Karma,Ahri,Kindred,Ryze,Jhin,Nautilus
143,NA1_4225021657,1645414424225,1469,Gangplank,Sion,Veigar,Tristana,Karma,Darius,Graves,Viktor,Zeri,Leona
144,NA1_4224984887,1645412669867,1435,Mordekaiser,Khazix,Lucian,Jinx,Lulu,Shen,Elise,Kassadin,Kaisa,Karma
145,NA1_4224906777,1645410494292,1353,Malphite,Rengar,Veigar,Twitch,Senna,Sett,Kayn,Galio,KogMaw,Thresh
146,NA1_4224869480,1645408534564,1529,Akali,Lillia,Malphite,Jhin,Renata,Kled,Graves,Yasuo,Ezreal,Nami
147,NA1_4223498639,1645326489193,1847,Sett,Graves,Sejuani,Jinx,Lux,Fiora,Gwen,Zed,Veigar,Senna
148,NA1_4223439344,1645323907828,1955,Fiora,Graves,Viktor,Ezreal,Nautilus,Volibear,Khazix,Ekko,Twitch,Yuumi
149,NA1_4223404915,1645322336964,1211,Fiora,Khazix,Viktor,Kaisa,Zyra,Akshan,Diana,Veigar,Samira,Renata
150,NA1_4223358039,1645320216527,1785,Graves,Zac,Cassiopeia,Ashe,Braum,Gangplank,Gragas,Zoe,Caitlyn,Senna
151,NA1_4223362740,1645318353646,1297,Aatrox,Hecarim,Veigar,Kaisa,Alistar,Kayle,XinZhao,Viktor,Samira,Bard
152,NA1_4222571899,1645249931961,2053,Graves,XinZhao,Malzahar,Vayne,Nami,Jax,MonkeyKing,Sylas,Jinx,Renata
153,NA1_4221997013,1645218999165,2168,Camille,Gwen,TwistedFate,Jinx,Lulu,Ornn,Ekko,Zed,Zeri,Blitzcrank
154,NA1_4222011274,1645216557320,2161,Rumble,Ivern,Ahri,Lucian,Blitzcrank,DrMundo,Zac,Qiyana,Kaisa,Renata
155,NA1_4221909419,1645215040346,1210,Gragas,Hecarim,Taliyah,Jinx,Renata,Urgot,Zac,Cassiopeia,Ashe,Senna
156,NA1_4221206325,1645164490069,1534,Jax,Kindred,Vladimir,Jinx,Renata,Darius,Viego,Viktor,Varus,Blitzcrank
157,NA1_4221251152,1645162938582,1119,MonkeyKing,Kindred,Viktor,Tristana,Nautilus,Graves,JarvanIV,Cassiopeia,Caitlyn,Lux
158,NA1_4221194007,1645160846742,1767,Teemo,Nunu,Yasuo,Lucian,Zyra,Malphite,Karthus,Garen,Zeri,Thresh
159,NA1_4221096776,1645158573477,1929,Graves,Kayn,Qiyana,Jinx,Bard,Garen,Khazix,Akali,Caitlyn,Zilean
160,NA1_4221076801,1645156187695,2047,Graves,Diana,Ornn,Lucian,Nami,Riven,Ivern,Fizz,Zeri,Pyke
161,NA1_4228641440,1645680239190,2002,Nasus,Ekko,Talon,Zeri,Yuumi,Camille,Khazix,Tristana,Jhin,Pantheon
162,NA1_4228633393,1645678349378,1479,Camille,Singed,XinZhao,Ezreal,Zilean,Jax,Kayn,Gangplank,Xerath,Veigar
163,NA1_4227562683,1645592168237,1215,Fiora,Graves,Anivia,MissFortune,Nami,Camille,Vi,Lucian,Jhin,Trundle
164,NA1_4226311062,1645506414429,1290,Trundle,Olaf,Ahri,Jhin,Xerath,Sion,LeeSin,Vex,Xayah,Zyra
165,NA1_4226206581,1645504596515,1469,Fiora,Ivern,Akali,Jhin,Lux,Camille,Khazix,Ahri,Varus,Leona
166,NA1_4226197098,1645502527056,1594,Aatrox,Gwen,Galio,Vayne,Thresh,Camille,Nocturne,Velkoz,Aphelios,Lulu
167,NA1_4226107750,1645499619570,2523,Camille,Shaco,Zoe,Yone,Lux,Gwen,Udyr,Qiyana,Xayah,Thresh
